| Feature type |  Description | Selected properties |Description  |
|---|---|---|---|
| [162 ATK-punkt](https://datakatalogen.vegdata.no/162) | | |  |
| | | 9522 Navn | |
 | | | 3594 Id nummer | |
 | | | 9527 Kontollretning | |
 | | | 9525 Fartsmåler, type | |
 | | | 9523 Kamera, type | |
 | | | 9524 Kamera, installeringsår | |
 | | | 9526 Fartsmåler, installeringsår | |
 | | | 11583 Tilleggsinformasjon | |
 | | | 11461 Prosjektreferanse | |
 | | | 9521 Eier | |
 | | | 4828 Geometri, punkt | |
 | | | | |
|**Bomstasjon **| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [60 Bru](https://datakatalogen.vegdata.no/60) | | |  |
| | | 1080 Navn | |
 | | | 2175 Nummer | |
 | | | 9182 Byggverkstype | |
 | | | 1404 Materialtype | |
 | | | 1313 Lengde | |
 | | | 1971 Lengste spenn | |
 | | | 11180 Opprinnelig F-Nr | |
 | | | 11317 Status | |
 | | | 11457 Sv 12/100 Plassering | |
 | | | 11458 Sv 12/100 Avstand | |
 | | | 11459 Veggruppe | |
 | | | 11460 Sv 12/100 Merknad | |
 | | | 1263 Brukategori | |
 | | | 10278 Byggeår | |
 | | | 8969 Vedlikeholdsansvarlig | |
 | | | 4763 Geometri, linje | |
 | | | 8906 Geometri, flate | |
 | | | | |
|**Bruksklasse modulvogntog**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| | | | |
|**Bruksklasse normaltransport**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| | | | |
|**Bruksklasse spesialtransport**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| | | | |
|**Bruksklasse tømmertransport**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [809 Døgnhvileplass](https://datakatalogen.vegdata.no/809) | | |  |
| | | 9245 Navn | |
 | | | 9246 Lokalisert ved | |
 | | | 9247 Skiltet atkomst | |
 | | | 9467 Antall oppstillingsplasser vogntog | |
 | | | 9249 Kontaktinfo | |
 | | | 9251 Driftsansvarlig | |
 | | | 9252 Areal, totalt | |
 | | | 9253 Areal, kjørbart | |
 | | | 9262 Vaktordning | |
 | | | 9263 Kameraovervåkning | |
 | | | 9264 Belysning | |
 | | | 9265 Stengt med bommer | |
 | | | 9266 Reserveringssystem  | |
 | | | 9267 System som melder tilgjengelig kapasitet | |
 | | | 9268 Farlig gods | |
 | | | 9269 Drivstoffyllingsanlegg | |
 | | | 9270 Vaskeplass for trailere | |
 | | | 9271 Tilgang til strøm | |
 | | | 9272 Gebyr for strøm   | |
 | | | 9273 Toalett  | |
 | | | 9274 Dusj | |
 | | | 9275 Kiosk | |
 | | | 9276 Kafeteria | |
 | | | 9277 Oppholdsrom | |
 | | | 9278 Trådløst internett | |
 | | | 9279 Kollektivtilbud til sentrum | |
 | | | 9280 Gangavstand til servicetilbud | |
 | | | 9281 Terminal / logistikkområde | |
 | | | 9282 Merknad | |
 | | | 9466 Årlig tilskudd fra Statens vegvesen | |
 | | | 9468 Prisnivå | |
 | | | 10285 Etableringsår | |
 | | | 11464 Prosjektreferanse | |
 | | | 9248 Eier | |
 | | | 9250 Vedlikeholdsansvarlig | |
 | | | 9283 Geometri, punkt | |
 | | | 9284 Geometri, flate | |
 | [105 Fartsgrense](https://datakatalogen.vegdata.no/105) | | |  |
| | | 2021 Fartsgrense | |
 | | | 1891 Vedtaksnummer | |
 | | | 11845 Geometri, hjelpelinje | |
